,acc_phone_X,acc_phone_Y,acc_phone_Z,lin_acc_phone_X,lin_acc_phone_Y,lin_acc_phone_Z,gyr_phone_X,gyr_phone_Y,gyr_phone_Z,location_phone_Latitude,location_phone_Longitude,location_phone_Height,location_phone_Velocity,location_phone_Direction,location_phone_Horizontal Accuracy,location_phone_Vertical Accuracy,mag_phone_X,mag_phone_Y,mag_phone_Z,proximity_phone_Distance,simple_dist_outlier
2025-06-04 13:16:00.185903744,-0.7686391072666666,-7.213200072974416,1.4685710910916672,1.595289234923077,1.7371230760769227,-1.3134069776076918,0.0725861518384615,-1.4230846257,0.4226850242261539,,,,,,,,34.38469519923076,18.152865704615383,-6.651623652476923,,False
2025-06-04 13:16:00.435903744,-0.38623432155,-10.17017601025,-3.073920249950001,1.5365273821999998,-0.6930276401750003,-5.5839513706416675,-0.8257026038999999,0.163308913525,-0.72947249555,,,,,,,,32.36567433583334,16.102939049166668,-9.382471721083332,,False
2025-06-04 13:16:00.685903744,-2.501148834338461,-9.426969592846154,0.9537359266307692,-1.5787018363595384,-0.0630690126,3.4390107172923075,-1.7507029634307694,2.3530272268153847,0.0170418489653846,,,,,,,,29.35865666307692,16.686655779230765,9.322922338769231,,False
2025-06-04 13:16:00.935903744,-5.5542124558333335,-14.03326767,-1.346163139416667,-5.541874367841667,-4.774163189749999,0.8169699504249991,2.2095855661,-1.2704391553333332,0.378001985075,52.37145972,4.858822804,11.71993637,1.50999999,266.484375,21.76776651,3.0,25.565837861666665,15.154620964166666,13.58497619675,,False
2025-06-04 13:16:01.185903744,1.519685950653846,-5.9705073428153845,-3.781275259315385,4.008634771692308,3.3360828774615383,-6.056501500292308,0.3778391876484615,-1.4400893082153845,0.7621889183253846,,,,,,,,26.497516338461537,9.479521311461538,0.4060264001923075,,False
2025-06-04 13:16:01.435903744,-2.2651271438091665,-12.982390480341666,4.580711861275,-0.1208146337666669,-3.857699358083334,1.626098563925,0.048689939675,0.63768249255,-0.0324308179691666,,,,,,,,23.26202265416666,7.047150532416667,-2.01218032825,,False
2025-06-04 13:16:01.685903744,-2.6684432513384615,-9.047600802230768,-1.6279569537153846,-1.4760784059076923,0.4168918129692308,-1.2966328223923078,-2.027477794084615,1.3937832416461535,-0.3978459405376923,,,,,,,,19.07981755076923,9.034297392923078,8.134825486846154,,False
2025-06-04 13:16:01.935903744,-3.007658042941667,-12.262050934416669,1.688089600033333,-3.1003382260916665,-3.2423608450583328,5.4181790297750005,0.2287188715325,0.1068334604749999,-0.4803862674341667,52.37145896,4.858802352,12.01253891,1.409999967,270.3515625,21.76776651,3.0,11.882476806666665,5.58820732425,17.837287267500002,,False
2025-06-04 13:16:02.185903744,-2.613265686115385,-10.933793828384616,-3.918620417923077,-1.3325139168333335,-1.9884519558500005,-4.841469417466667,2.139395875291666,-1.3435621310916668,1.2647682179916668,,,,,,,,13.986105601083333,15.569283644083333,13.81637382625,,False
2025-06-04 13:16:02.435903744,-0.4536566163924998,-8.086758499516668,3.6827791214166665,1.8587904767692305,1.4995653215615383,0.4967675449230769,-0.1764362404769231,-0.8800859610846152,0.2880252435887446,,,,,,,,20.69533714923077,20.68086448076923,6.960367643,,False
