,acc_phone_X,acc_phone_Y,acc_phone_Z,lin_acc_phone_X,lin_acc_phone_Y,lin_acc_phone_Z,gyr_phone_X,gyr_phone_Y,gyr_phone_Z,location_phone_Latitude,location_phone_Longitude,location_phone_Height,location_phone_Velocity,location_phone_Direction,location_phone_Horizontal Accuracy,location_phone_Vertical Accuracy,mag_phone_X,mag_phone_Y,mag_phone_Z,proximity_phone_Distance
2025-06-04 11:51:49.584940032,-6.627283876769231,5.351060873153846,4.510478104846154,-0.1781126694375,-0.5665147487916666,0.08944195859333333,-0.04935759638495834,0.25773032335749996,-0.05141094171833333,52.62667856,4.736418299,4.946749032,8.720000267,236.6014771,4.74865153,4.029364438,25.264993031666666,-14.200884342500002,-2.7275409698333335,5.0
2025-06-04 11:51:49.834940032,-7.852244251000001,4.369678591307692,2.795413830153846,0.02068135807083334,-0.9651234842108333,0.4999587678525,0.4632119597916667,2.2348777155833335,-0.6824249786908334,,,,,,,,24.46615537,-12.254842757083333,4.272587458348333,
2025-06-04 11:51:50.084940032,-9.165153465749999,2.7407880019166666,-1.9695043946083333,-0.3575620948015385,-0.2736430581769231,0.7064202942669229,1.3528669476538464,0.8363697007492307,-0.8680985432384615,52.6264984,4.735838743,3.672145844,7.099999905,237.3046875,14.0,6.0,21.552578264615384,-2.3451598791076926,18.652593173076927,
2025-06-04 11:51:50.334940032,-9.33763996976923,-0.6107069514923077,-3.0727294569999994,-0.30028892488700004,-0.5510215885666667,0.5818376453441667,1.3984293043999998,0.0803097859025,-1.10385991625,,,,,,,,19.917444229166666,9.78783909375,22.211922964166664,0.0
2025-06-04 11:51:50.584940032,-8.781164475083333,-1.9404398344666667,-4.338440666166666,-0.5819702702969232,0.1238162195307693,-0.08449968751461537,-0.21505279096846155,0.5895136812484616,-0.37196424372276926,,,,,,,,15.595248883076923,19.25655907846154,22.524463947692308,
2025-06-04 11:51:50.834940032,-7.234927966615386,-2.179605947753846,-5.851861759769231,0.32549125255749994,-0.0627780339333333,0.22759848389166662,-0.7018911490916667,0.5812732078866667,-0.09929357747916667,52.62648511,4.735783758,2.189479828,7.099999905,239.0625,14.0,3.0,10.729292551,16.40155402666667,27.422739029166664,
2025-06-04 11:51:51.084940032,-7.480157432416667,-2.7465634918333333,-5.928122406166666,-0.2551861645846154,-0.5342093357799231,0.23848300840923076,-0.5062564652184615,-0.35719419499384614,-0.8852508434538459,,,,,,,,8.582582327076922,11.707779516153845,30.337198698461542,
2025-06-04 11:51:51.334940032,-7.74426111076923,-3.4920881651923077,-5.7061800914615395,-0.5222548345808334,-0.8513209531916667,0.32540627314916676,-0.11659382746141668,0.06007976465541667,-0.17646596860916666,,,,,,,,8.229932785083335,9.912337860083332,31.722142538333333,
2025-06-04 11:51:51.584940032,-7.025091247583334,-2.683357429575,-6.045914955333334,0.021053034902307692,-0.07308585525923075,0.21211696838000002,-0.1604642171676923,0.05914905703615385,0.04127059121646153,,,,,,,,7.175543565076922,9.64147267,32.76542956923077,
2025-06-04 11:51:51.834940032,-6.721783517615384,-1.9185833622830768,-6.32622531576923,0.4292666615416667,0.511335463905,0.021535197779166654,-0.3644074822883334,-0.16293282999166667,-0.5918287430166668,52.62641294,4.735712847,1.032314301,7.099999905,233.4375,14.0,3.0,7.534411112416667,6.440387129666667,33.953877766666665,
2025-06-04 11:51:52.084940032,-6.936762428416667,-5.011254043458333,-6.069366188,-0.2512974062769231,-1.7851021788076926,0.18084736342961538,0.0507876247653846,0.004085321761153851,-0.2604222898076923,,,,,,,,7.665293766923076,3.474049513153846,34.96698056769231,
2025-06-04 11:51:52.334940032,-6.622942903923076,-3.6052182944461535,-6.380988358769231,0.07274237630692312,-0.5180629245,0.11862318360307691,-0.2341532420576923,0.08893034478430771,0.07974702170623076,,,,,,,,6.25263096723077,2.967523978307693,35.114791869230764,
2025-06-04 11:51:52.584940032,-6.71699443825,-3.039853592,-6.629526329166667,-0.06189594492916667,-0.30676878489166665,0.029233544472083334,-0.11975195941499998,-0.02967508291583333,0.03442489949533333,,,,,,,,5.297057469666666,2.9360312223333334,33.9893595375,
2025-06-04 11:51:52.834940032,-6.77864220246154,-2.657112966769231,-6.776085979923078,-0.0028177732284615444,-0.24517457317461536,-0.11131101553292308,-0.1839442746153846,-0.056843863582230765,0.09235222322384616,52.62636659,4.735621568,1.558864594,7.349999905,232.3828125,14.0,3.0,6.261036799538461,2.6983277797692304,33.01491488,
2025-06-04 11:51:53.084940032,-6.764905383846154,-1.699300901153846,-6.703728755076924,0.17187739358499998,0.2792808048416667,-0.036865232882499994,-0.11235672706375001,-0.023470032915416664,0.034859794192499995,,,,,,,,5.6980482737500004,1.1928578019583334,30.799355189166665,
2025-06-04 11:51:53.334940032,-6.785564346249999,-1.648322296333333,-6.781834602499999,0.11290240273307693,0.2233457139638462,-0.08289764050846153,-0.024235295186538462,0.022918028327692304,-0.018472557233461535,,,,,,,,5.76063596276923,1.1606108225076923,30.526956996923072,
2025-06-04 11:51:53.584940032,-7.00768897423077,-1.9485556499999999,-6.968516587538462,-0.1404376459175,0.09659712330416668,-0.2579848068941667,0.037413697143333334,0.0050585159533333346,-0.08622413017668334,,,,,,,,6.094674428166666,0.4505263169458334,31.41783332833333,
2025-06-04 11:51:53.834940032,-7.02582721725,-1.9999411011666661,-6.878782997083333,-0.11065446317461539,-0.03205775337630769,-0.20101157661,-0.16609202898384617,-0.10051888499923077,0.06498480322999999,52.62634962,4.735564906,1.782741547,7.349999905,236.25,14.0,3.0,6.531432518615385,0.01634339186076925,31.23443075153846,
2025-06-04 11:51:54.084940032,-6.896896291769232,-1.0760661551923079,-6.548351863,0.22596979066108333,0.43040680768666667,0.06979236603816666,-0.11479795300618333,-0.09158263456400001,0.12857718424333334,,,,,,,,7.644248962416666,-1.4903884331,30.338680267499996,
2025-06-04 11:51:54.334940032,-7.415491905166667,-1.1395927047499999,-6.449787597583332,-0.20312939313846157,0.10830994896323078,0.03865895624715384,-0.025876440475846155,-0.0030254376353846145,-0.012139145323230769,,,,,,,,7.481283921384616,-0.39800237688000006,29.28484637923077,
2025-06-04 11:51:54.584940032,-7.33639389046154,-1.2366936669769233,-6.529076561615384,-0.17285689965033332,0.06324668828583334,0.09906016543916667,-0.037029250562583334,0.1001697328541667,-0.03950092173816667,,,,,,,,4.446272532166666,0.8978805145241667,28.050825755,
